Client ID,Client Name,State,Industry,Contract Value,CTR,Total Ad Spend,Total Revenue Generated,Return on Investment (ROI),Total Leads,Conversion Rate,Leads converted,Contract Start_month,Contract Start_year,Contract Start Date_month,Contract Start Date_year,Contract End Date_month,Contract End Date_year,Contract End Date.1_month,Contract End Date.1_year
Client-1L022,Trendy Threads Boutique,Oregon,Technology,17665,0.043,3563,1321748.295,36996.5,436,0.06158141172,26.84949551,5,2022,5,2022,3,2024,3,2024
Client-85N44,Luxe Home Decor Emporium,New York,Finance,1627,0.021,1466,19081.456,1201.6,683,0.05361788182,36.62101329,2,2022,2,2022,11,2024,11,2024
Client-6P179,UrbanGlow Beauty Supplies,Iowa,Retail,22874,0.013,3322,1443761.132,43360.6,792,0.04601072965,36.44049788,9,2023,9,2023,9,2024,9,2024
Client-7A538,FreshBite Grocery Mart,Ohio,Retail,21843,0.01,3837,1760043.411,45770.3,380,0.06549362468,24.88757738,8,2023,8,2023,12,2024,12,2024
Client-23C65,StyleSavvy Fashion House,New Mexico,Healthcare,9732,0.012,1978,307998.336,15471.2,642,0.05627146727,36.12628199,1,2022,1,2022,9,2024,9,2024
Client-9L911,EliteSportswear Outlet,Hawaii,Healthcare,18322,0.035,4161,3278227.206,78684.6,578,0.04187422213,24.20330039,5,2023,5,2023,4,2024,4,2024
Client-49V92,GreenThumb Garden Center,North Carolina,Technology,4202,0.021,3138,316461.024,9984.8,466,0.03467015489,16.15629218,11,2023,11,2023,8,2024,8,2024
Client-31W84,CozyComfort Furniture Store,Missouri,Healthcare,13115,0.049,2687,1021960.145,37933.5,237,0.06165455872,14.61213042,2,2023,2,2023,9,2024,9,2024
Client-4D344,SweetTooth Confectionery,New Hampshire,Retail,2145,0.005,4543,341065.725,7407.5,249,0.03070629984,7.64586866,3,2023,3,2023,12,2024,12,2024
Client-65S76,SmartBuy Electronics Store,Louisiana,Healthcare,19593,0.041,967,265250.034,27330.2,358,0.05600833316,20.05098327,10,2022,10,2022,7,2024,7,2024
Client-6U554,KidZone Toy Emporium,Kentucky,Retail,16061,0.006,585,65769.795,11142.7,675,0.06767744867,45.68227785,12,2023,12,2023,12,2024,12,2024
Client-12J45,SparkleSparkle Jewelry Boutique,Oregon,Healthcare,1227,0.014,2248,99298.656,4317.2,461,0.03484340685,16.06281056,9,2022,9,2022,4,2024,4,2024
